Folder,Filename,Original Source,Note
01_Dashboard_App_Screens,01_machine-monitoring-dashboard-context__cnc-machine-monitoring-screen.png,industrial_workstation_with_cnc_dashboard.png,Dashboard context image: CNC/machine monitoring screen in industrial setup
01_Dashboard_App_Screens,02_water-pump-dashboard-context__pump-room-laptop-monitoring.png,industrial_control_room_with_laptop_display.png,Dashboard context image: pump/utility monitoring laptop near pump room
01_Dashboard_App_Screens,03_cold-chain-mobile-app-context__phone-reefer-truck-cargo.png,logistics_app_in_action_at_warehouse.png,Mobile app context image: cold-chain vehicle/cargo monitoring
01_Dashboard_App_Screens,04_machine-monitoring-dashboard-detailed-ss__full-ui-overview.png,industrial_machine_monitoring_dashboard_overview.png,Detailed UI screenshot: industrial machine monitoring dashboard
01_Dashboard_App_Screens,05_water-treatment-dashboard-detailed-ss__tank-pump-flow-alerts.png,industrial_water_treatment_dashboard_interface.png,Detailed UI screenshot: water/pump/tank utility dashboard
01_Dashboard_App_Screens,06_cold-chain-mobile-app-detailed-ss__vehicle-temperature-route-alerts.png,cold_chain_fleet_tracking_dashboard.png,"Detailed mobile app screenshot: cold-chain vehicle temperature, route, alerts"
02_Careers_Page,01_careers-engineering-team__prototype-hardware-collaboration.png,engineers_collaborating_on_robotics_project.png,Careers page image: engineers collaborating around a hardware/prototype system
02_Careers_Page,02_careers-alternative__electronics-project-in-progress.png,collaborative_electronics_project_in_progress.png,Careers alternative: hands-on electronics/prototype project in progress
03_Contact_Page,01_contact-engineering-workspace__edge-device-laptop-notebook.png,focused_engineering_workspace_with_tech_tools.png,"Contact page image: practical engineering desk with device, laptop, notebook and tools"
03_Contact_Page,02_contact-alternative__hardware-design-workspace-device-tools.png,modern_tech_workspace_with_focus_on_design.png,Contact alternative: engineering design workspace with device and tools
04_Extra_Usable_Alternatives/01_Connected_Mobility,connected-vehicle-alt__industrial-warehouse-vehicle-tech-setup.png,industrial_warehouse_with_tech_setup.png,Alternative connected vehicle / industrial tech setup
